brand,fiscal_year,scenario,cac_rs,ltv_rs,ltv_cac_ratio,payback_period_months,revenue_cr,breach_flag
Mamaearth,FY26,Bear,3826.0,2543.0,0.665,41.2,2169.3,True
Mamaearth,FY27,Bear,4973.0,2416.0,0.486,69.6,2277.8,True
Mamaearth,FY28,Bear,6465.0,2295.0,0.355,117.6,2391.7,True
Mamaearth,FY26,Base,3384.0,2730.0,0.807,36.4,2313.9,True
Mamaearth,FY27,Base,3892.0,2785.0,0.716,48.2,2591.6,True
Mamaearth,FY28,Base,4476.0,2841.0,0.635,63.7,2902.6,True
Mamaearth,FY26,Bull,2649.0,2891.0,1.092,28.5,2437.9,True
Mamaearth,FY27,Bull,2384.0,3122.0,1.31,23.1,2876.7,True
Mamaearth,FY28,Bull,2145.0,3372.0,1.572,18.7,3394.5,True
boAt,FY26,Bear,1217.0,4142.0,3.402,11.7,3223.5,False
boAt,FY27,Bear,1583.0,3934.0,2.486,19.8,3384.7,True
boAt,FY28,Bear,2058.0,3738.0,1.817,33.5,3553.9,True
boAt,FY26,Base,1077.0,4447.0,4.129,10.4,3438.4,False
boAt,FY27,Base,1239.0,4536.0,3.662,13.7,3851.0,False
boAt,FY28,Base,1424.0,4626.0,3.248,18.1,4313.1,False
boAt,FY26,Bull,843.0,4708.0,5.586,8.1,3622.6,False
boAt,FY27,Bull,759.0,5085.0,6.703,6.6,4274.7,False
boAt,FY28,Bull,683.0,5492.0,8.044,5.3,5044.1,False
